adapter,case_id,confidence,expected,label,latency_ms,model_name,ok,pair,requested_model,returned_model,text,wall_ms,warmup
openrouter-decisions,synthetic-warmup,1.0,activate_my_card,activate_my_card,510.082878,openrouter-jev,True,-1,typesafe/jev-1.13,typesafe/jev-1.13-20260917,How can I activate my new card?,649.467333,True
openrouter-decisions,banking77-test-1474,0.98,atm_support,atm_support,396.983506,openrouter-jev,True,0,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Where can I find an ATM to use this card?,533.378371,False
openrouter-decisions,banking77-test-0746,1.0,top_up_limits,top_up_limits,458.245728,openrouter-jev,True,1,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Is there a maximum amount of top-ups?,580.391725,False
openrouter-decisions,banking77-test-2372,0.97,verify_top_up,verify_top_up,420.376069,openrouter-jev,True,2,typesafe/jev-1.13,typesafe/jev-1.13-20260917,How do I get my top-up verification code?,541.277828,False
openrouter-decisions,banking77-test-0174,0.82,extra_charge_on_statement,extra_charge_on_statement,440.963545,openrouter-jev,True,3,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Where did this fee come from?,577.373915,False
openrouter-decisions,banking77-test-1982,1.0,transaction_charged_twice,transaction_charged_twice,451.348949,openrouter-jev,True,4,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Why am I being charged twice?,562.854397,False
openrouter-decisions,banking77-test-1749,0.88,declined_transfer,declined_transfer,320.890183,openrouter-jev,True,5,typesafe/jev-1.13,typesafe/jev-1.13-20260917,"I tried to make a transfer, but it was declined. Can you tell me why?",462.499907,False
openrouter-decisions,banking77-test-0388,0.93,card_not_working,card_not_working,350.793007,openrouter-jev,True,6,typesafe/jev-1.13,typesafe/jev-1.13-20260917,I can't use my card.,482.363809,False
openrouter-decisions,banking77-test-0321,1.0,automatic_top_up,automatic_top_up,375.787289,openrouter-jev,True,7,typesafe/jev-1.13,typesafe/jev-1.13-20260917,"When traveling, can I auto top-up my card at certain times?",502.214555,False
openrouter-decisions,banking77-test-0112,1.0,exchange_rate,exchange_rate,347.992736,openrouter-jev,True,8,typesafe/jev-1.13,typesafe/jev-1.13-20260917,How are you determining your exchange rates?,475.8044,False
openrouter-decisions,banking77-test-2128,1.0,change_pin,change_pin,359.873281,openrouter-jev,True,9,typesafe/jev-1.13,typesafe/jev-1.13-20260917,I would like to change my card PIN.,491.284493,False
openrouter-decisions,banking77-test-1306,0.97,visa_or_mastercard,visa_or_mastercard,334.446588,openrouter-jev,True,10,typesafe/jev-1.13,typesafe/jev-1.13-20260917,We need both a visa and a Mastercard.,453.734511,False
openrouter-decisions,banking77-test-2634,0.99,get_disposable_virtual_card,get_disposable_virtual_card,371.95703,openrouter-jev,True,11,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Will I be able to get a disposable virtual card as well?,490.163164,False
openrouter-decisions,banking77-test-0598,0.93,contactless_not_working,contactless_not_working,373.581662,openrouter-jev,True,12,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Do I need to make a regular payment before a contactless one?,488.779952,False
openrouter-decisions,banking77-test-1071,1.0,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,348.706298,openrouter-jev,True,13,typesafe/jev-1.13,typesafe/jev-1.13-20260917,"A cheque deposit hasn't posted to my account, when will my balance update?",463.703254,False
openrouter-decisions,banking77-test-2368,1.0,verify_top_up,verify_top_up,452.274943,openrouter-jev,True,14,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Can I verify a top up?,578.335377,False
openrouter-decisions,banking77-test-2992,0.81,apple_pay_or_google_pay,top_up_failed,337.678211,openrouter-jev,True,15,typesafe/jev-1.13,typesafe/jev-1.13-20260917,"My American Express is in my Apple Pay and the top up is failing, why?",465.057078,False
openrouter-decisions,banking77-test-1801,0.99,declined_card_payment,declined_card_payment,421.182844,openrouter-jev,True,16,typesafe/jev-1.13,typesafe/jev-1.13-20260917,My credit card was declined.,542.227929,False
openrouter-decisions,banking77-test-1160,1.0,edit_personal_details,edit_personal_details,442.987911,openrouter-jev,True,17,typesafe/jev-1.13,typesafe/jev-1.13-20260917,What do I need to do to change the address on my account?,567.317324,False
openrouter-decisions,banking77-test-2919,1.0,cash_withdrawal_charge,cash_withdrawal_charge,406.644613,openrouter-jev,True,18,typesafe/jev-1.13,typesafe/jev-1.13-20260917,"My account got charged for taking out cash, why did this happen?",523.672747,False
openrouter-decisions,banking77-test-0046,0.47,card_linking,card_linking,375.088711,openrouter-jev,True,19,typesafe/jev-1.13,typesafe/jev-1.13-20260917,"I received my new card, but I don't see it in the app anywhere.  What do I do?",486.4513,False
openrouter-decisions,banking77-test-2820,0.99,top_up_by_card_charge,top_up_by_card_charge,328.987822,openrouter-jev,True,20,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Will I be charged if I use European bank card for top up?,462.554366,False
openrouter-decisions,banking77-test-2442,1.0,top_up_by_cash_or_cheque,top_up_by_cash_or_cheque,354.831453,openrouter-jev,True,21,typesafe/jev-1.13,typesafe/jev-1.13-20260917,How do I top-up using cash?,476.313298,False
openrouter-decisions,banking77-test-2018,0.96,verify_source_of_funds,verify_source_of_funds,348.944479,openrouter-jev,True,22,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Help me check where the funds came from.,472.21277,False
openrouter-decisions,banking77-test-3040,0.97,verify_my_identity,verify_my_identity,351.279019,openrouter-jev,True,23,typesafe/jev-1.13,typesafe/jev-1.13-20260917,What do I need to do to verify my identity?,484.002522,False
openrouter-decisions,banking77-test-1460,0.8,atm_support,atm_support,368.392586,openrouter-jev,True,24,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Can I use my card at any ATMs?,485.557473,False
openrouter-decisions,banking77-test-0020,0.91,card_arrival,card_arrival,393.13561,openrouter-jev,True,25,typesafe/jev-1.13,typesafe/jev-1.13-20260917,My card still hasn't arrived after 2 weeks. Is it lost?,524.627408,False
openrouter-decisions,banking77-test-0488,1.0,age_limit,age_limit,379.799012,openrouter-jev,True,26,typesafe/jev-1.13,typesafe/jev-1.13-20260917,What is the youngest age in order to have an account?,497.652844,False
openrouter-decisions,banking77-test-0736,1.0,top_up_limits,top_up_limits,997.136435,openrouter-jev,True,27,typesafe/jev-1.13,typesafe/jev-1.13-20260917,What is the limit to a top-up?,1109.726961,False
openrouter-decisions,banking77-test-2674,1.0,top_up_failed,top_up_failed,387.244773,openrouter-jev,True,28,typesafe/jev-1.13,typesafe/jev-1.13-20260917,My top-up has failed.,506.882276,False
openrouter-decisions,banking77-test-0375,1.0,card_not_working,card_not_working,399.498051,openrouter-jev,True,29,typesafe/jev-1.13,typesafe/jev-1.13-20260917,I think my card is broken,510.909906,False
openrouter-decisions,banking77-test-0995,0.72,card_acceptance,card_acceptance,392.901761,openrouter-jev,True,30,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Can I use my card anywere?,516.258055,False
openrouter-decisions,banking77-test-1038,0.69,top_up_reverted,top_up_reverted,369.011382,openrouter-jev,True,31,typesafe/jev-1.13,typesafe/jev-1.13-20260917,My top-up has been cancelled.,487.955819,False
openrouter-decisions,banking77-test-1336,0.71,topping_up_by_card,topping_up_by_card,330.239419,openrouter-jev,True,32,typesafe/jev-1.13,typesafe/jev-1.13-20260917,How do I transfer money using a credit card?,447.887794,False
openrouter-decisions,banking77-test-0877,0.7,transfer_not_received_by_recipient,transfer_timing,366.605878,openrouter-jev,True,33,typesafe/jev-1.13,typesafe/jev-1.13-20260917,How long until my friend receives my transaction?,505.869525,False
openrouter-decisions,banking77-test-1217,0.93,unable_to_verify_identity,unable_to_verify_identity,400.542327,openrouter-jev,True,34,typesafe/jev-1.13,typesafe/jev-1.13-20260917,I am having trouble proving my identity.,514.736333,False
openrouter-decisions,banking77-test-0164,0.99,extra_charge_on_statement,extra_charge_on_statement,393.354815,openrouter-jev,True,35,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Why is there an extra dollar charged to my account?,523.006494,False
openrouter-decisions,banking77-test-0118,1.0,exchange_rate,exchange_rate,389.967907,openrouter-jev,True,36,typesafe/jev-1.13,typesafe/jev-1.13-20260917,What is my foreign exchange rate?,509.745751,False
openrouter-decisions,banking77-test-2200,0.62,beneficiary_not_allowed,declined_transfer,360.656662,openrouter-jev,True,37,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Why was a transfer to an account not allowed?,469.051716,False
openrouter-decisions,banking77-test-2777,0.59,exchange_charge,exchange_rate,411.943854,openrouter-jev,True,38,typesafe/jev-1.13,typesafe/jev-1.13-20260917,"How much is a cross currency exchange, and can I check to see if I have any discounts available?",536.227151,False
openrouter-decisions,banking77-test-2007,1.0,verify_source_of_funds,verify_source_of_funds,514.784111,openrouter-jev,True,39,typesafe/jev-1.13,typesafe/jev-1.13-20260917,I need to verify my source of funds,632.161542,False
openrouter-decisions,banking77-test-0344,1.0,automatic_top_up,automatic_top_up,414.204529,openrouter-jev,True,40,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Can I have a auto top-up when my account is short?,555.772153,False
openrouter-decisions,banking77-test-1806,1.0,declined_card_payment,declined_card_payment,411.834811,openrouter-jev,True,41,typesafe/jev-1.13,typesafe/jev-1.13-20260917,My card was declined in a shop,543.298075,False
openrouter-decisions,banking77-test-2729,1.0,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,344.871481,openrouter-jev,True,42,typesafe/jev-1.13,typesafe/jev-1.13-20260917,The app said I withdrew cash at an ATM and I didn't,475.852066,False
openrouter-decisions,banking77-test-1928,1.0,card_swallowed,card_swallowed,348.702196,openrouter-jev,True,43,typesafe/jev-1.13,typesafe/jev-1.13-20260917,I think the atm ate my card.,482.221214,False
openrouter-decisions,banking77-test-2726,0.98,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,324.578387,openrouter-jev,True,44,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Why is there a random withdrawal in my app?,439.402751,False
openrouter-decisions,banking77-test-1551,0.96,passcode_forgotten,passcode_forgotten,421.396123,openrouter-jev,True,45,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Can you help me reset my password?,504.636997,False
openrouter-decisions,banking77-test-1146,1.0,edit_personal_details,edit_personal_details,356.995975,openrouter-jev,True,46,typesafe/jev-1.13,typesafe/jev-1.13-20260917,I need help changing my last name on my account.,449.639324,False
openrouter-decisions,banking77-test-1069,0.85,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,348.333725,openrouter-jev,True,47,typesafe/jev-1.13,typesafe/jev-1.13-20260917,What happened to the cash that I tried to deposit into my account? It's gone!,458.320118,False
openrouter-decisions,banking77-test-2437,0.98,getting_spare_card,getting_spare_card,361.52322,openrouter-jev,True,48,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Is it possible to give a second card for this account to my daughter?,476.569437,False
openrouter-decisions,banking77-test-0731,1.0,top_up_limits,top_up_limits,374.941075,openrouter-jev,True,49,typesafe/jev-1.13,typesafe/jev-1.13-20260917,What is maximum top up?,525.222638,False
openrouter-decisions,banking77-test-2319,0.97,failed_transfer,failed_transfer,322.853205,openrouter-jev,True,50,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Can you provide a reason as to why my transfer did not work?,491.667946,False
openrouter-decisions,banking77-test-2232,0.59,transfer_fee_charged,transfer_fee_charged,396.447893,openrouter-jev,True,51,typesafe/jev-1.13,typesafe/jev-1.13-20260917,In the past month I often used this account to manage payments for my new holiday villa. Now all of a sudden your fees have increased exorbitantly! Don't you have a rewards programme for frequent users?,520.276475,False
openrouter-decisions,banking77-test-1802,0.98,declined_card_payment,declined_card_payment,343.127942,openrouter-jev,True,52,typesafe/jev-1.13,typesafe/jev-1.13-20260917,The new card that was just sent to me was declined multiple times yesterday when I tried to use it at a restaurant to pay for my dinner.  I am really disappointed  and embarrassed that my card was denied when I tried to use it to pay for my friend's birthday dinner.,473.63322,False
openrouter-decisions,banking77-test-2830,0.96,top_up_by_card_charge,topping_up_by_card,344.739778,openrouter-jev,True,53,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Is it okay to use a bank card to top up,485.628614,False
openrouter-decisions,banking77-test-0463,0.95,lost_or_stolen_card,lost_or_stolen_card,420.788557,openrouter-jev,True,54,typesafe/jev-1.13,typesafe/jev-1.13-20260917,I think I lost my card . I dont know how long it has been missing. Can you see if maybe someone else has been using it?,548.982782,False
openrouter-decisions,banking77-test-0560,1.0,pin_blocked,pin_blocked,339.040909,openrouter-jev,True,55,typesafe/jev-1.13,typesafe/jev-1.13-20260917,"
Where can I get my PIN unblocked?",475.92467,False
openrouter-decisions,banking77-test-1997,1.0,transaction_charged_twice,transaction_charged_twice,394.33233,openrouter-jev,True,56,typesafe/jev-1.13,typesafe/jev-1.13-20260917,There is more than one of the same transaction on my account.,521.7255,False
