adapter,case_id,confidence,expected,label,latency_ms,model_name,ok,pair,requested_model,returned_model,text,wall_ms,warmup
openrouter-decisions,warmup,1.0,praise,praise,549.490498,openrouter-jev,True,-1,typesafe/jev-1.13,typesafe/jev-1.13-20260917,I love how easy this app is to use.,683.265034,True
classifier.dev,warmup,1.0,praise,praise,556.350966,classifier-jev,True,-1,jev,jev-1.13.0,I love how easy this app is to use.,676.268371,True
openrouter-decisions,feedback-20,0.97,other,other,364.645711,openrouter-jev,True,0,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Do you offer training sessions for new customers?,493.329448,False
classifier.dev,feedback-20,0.99,other,other,477.208626,classifier-jev,True,0,jev,jev-1.13.0,Do you offer training sessions for new customers?,605.189824,False
classifier.dev,feedback-06,1.0,feature request,feature request,621.221238,classifier-jev,True,1,jev,jev-1.13.0,Could you support signing in with a hardware security key?,743.250065,False
openrouter-decisions,feedback-06,0.99,feature request,feature request,360.297659,openrouter-jev,True,1,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Could you support signing in with a hardware security key?,477.030229,False
classifier.dev,feedback-15,1.0,praise,praise,361.765491,classifier-jev,True,2,jev,jev-1.13.0,The keyboard shortcuts have made my daily work much easier.,488.737859,False
openrouter-decisions,feedback-15,1.0,praise,praise,343.276556,openrouter-jev,True,2,typesafe/jev-1.13,typesafe/jev-1.13-20260917,The keyboard shortcuts have made my daily work much easier.,484.19616,False
openrouter-decisions,feedback-05,1.0,bug report,bug report,366.383214,openrouter-jev,True,3,typesafe/jev-1.13,typesafe/jev-1.13-20260917,"I enter the correct password, but the login page stays blank.",495.585282,False
classifier.dev,feedback-05,1.0,bug report,bug report,451.009832,classifier-jev,True,3,jev,jev-1.13.0,"I enter the correct password, but the login page stays blank.",583.778215,False
openrouter-decisions,feedback-10,0.93,feature request,feature request,391.728733,openrouter-jev,True,4,typesafe/jev-1.13,typesafe/jev-1.13-20260917,I would like a dark theme for the mobile app.,505.601949,False
classifier.dev,feedback-10,0.99,feature request,feature request,360.038877,classifier-jev,True,4,jev,jev-1.13.0,I would like a dark theme for the mobile app.,476.753295,False
classifier.dev,feedback-14,1.0,feature request,feature request,372.406745,classifier-jev,True,5,jev,jev-1.13.0,It would help if tasks could repeat on the first weekday of each month.,503.720058,False
openrouter-decisions,feedback-14,1.0,feature request,feature request,349.246217,openrouter-jev,True,5,typesafe/jev-1.13,typesafe/jev-1.13-20260917,It would help if tasks could repeat on the first weekday of each month.,476.735048,False
classifier.dev,feedback-16,1.0,other,other,386.362936,classifier-jev,True,6,jev,jev-1.13.0,Please tell me which subscription plan I currently have.,523.268564,False
openrouter-decisions,feedback-16,1.0,other,other,481.945551,openrouter-jev,True,6,typesafe/jev-1.13,typesafe/jev-1.13-20260917,Please tell me which subscription plan I currently have.,604.420881,False
